User,Time,Comment
文森特九六,2018-04-28,['视听场面上无甚创新，甚至趋于平庸，故事走向也没有打破观众的心理预期与情感预设，但是，罗素兄弟还是将灭霸塑造成了漫威电影宇宙迄今为止最为复杂的角色，挣脱了向流行文化市场批量生产输送Pop偶像的桎梏，并以此取得了十年来最为深刻的一次沉淀，因此对未来和复联4，我还是期待的。']
x will old,2018-04-21,['bug多，套路老。我还想问一句。为什么奇异博士不谈判了？为什么卡魔拉一摔就死了？为什么不砍灭霸手？灵魂宝石，心灵宝石从头到尾有什么用处？最厉害的随从为什么领便当？为什么全宇宙都是空气？']
indicent time,2018-04-27,['严重超出了我对这一部的期待，某个情感高潮竟然来自反派，某个主角映后大概率会被各种开会，看完难过程度让我想起小时候追圣斗士冥王篇，看着一个个黄金圣斗士死去的时候……']
顾盼,2018-05-11,['灭霸是个老实人。也最终实现了自己的梦想。']
橘貓,2018-04-25,['《復仇者聯盟3：無限之戰》最大的劣勢，是它始終是一部故事電影，電影需要有重心，儘管時間分配已經接近完美，但對那位「主角」來說，篇幅永遠不夠，重心依然顯得搖搖欲墜；而最大的優勢，則是它像你最愛的流行音樂歌手，終於出了承諾歌迷的十年音樂生涯精選輯。無論如何，你就是沒法不喜歡這張專輯。']
User,Time,Comment
三月天的憨人,2018-04-26,['星爵你是猪吗，气死我了']
User,Time,Comment
谋杀电视机,2018-05-12,['感觉就像喝了十年的稀粥偶尔掺碗饭的饭店终于来了碗中规中矩的白米饭，然后被一堆人夸好像吃了八宝饭的感觉。讳莫如深的什么彩蛋和剧透掩盖的是羸弱无力的故事和人物，诺兰有怕过你知道小丑.贝恩.双面人是活着还是死了么？况且这集随随便便死的一半人下集肯定活']
noodles省己,2018-04-27,['灭霸真是的，多打一个响指，就好了']
User,Time,Comment
谢谢你们的鱼,2018-05-11,['爽炸，仅次于《美队3》的漫威电影，编剧逆天，导演开挂，从头到尾都是高潮，尖叫连连，《权力的游戏》，你怕了吗？']
